,Date,content,change
117,2011-02-20,별세 학생 아산 발인 의사 장점 본사 부사장 일보 의원 이사장 경북 학과 대표이사 강남 금호 근무 서울대,-0.03003003
118,2011-02-21,별세 학생 아산 발인 근무 서울대 의사 장점 본사 부사장 의원 이사장 경북 학과 대표이사 강남 금호 차장 제주 이제 복합 행정 연합 설비 유일 기계 조은 수상 도시 중앙회 신영 책임 일보 학교,-0.034055728
119,2011-02-22,사태 금융시장 코스피지수 투자심리 위축 한때 종가 우위 신흥국 선진국 본격화 단기적 원달러 신용등급 이틀 물량 수입 키움증권,0.054487179000000004
120,2011-02-23,사태 금융시장 코스피지수 투자심리 위축 한때 종가 우위 신흥국 선진국 본격화 단기적 원달러 신용등급 이틀 물량 수입 키움증권,0.021276596000000002
121,2011-02-24,승진 전보 개혁 행정 파견 강원 미디어 광고 직무 대외 자원 기기 음악 기초 예술 학생 영국 교류 단장 의료 소장 건강 영화 전무 한국투자증권 부사장 강남 신임 비즈니스 신탁 밸류 메리 이종 창원 세종 식품 임원 손해보험 대표이사 고위 일보 선호 디자인 특수 경북,-0.005952381
122,2011-02-25,개혁 행정 일보 미디어 광고 파견 강원 직무 대외 자원 기기 음악 기초 선호 디자인 특수 소장 경북 학생 예술 영국 교류 단장 의료 건강 영화 전무 한국투자증권 부사장 강남 승진 비즈니스 신탁 밸류 메리 이종 창원 세종 식품 손해보험 대표이사,0.011976048000000001
125,2011-03-06,아이비케이기업은행 가족 성향 매력 개별 범위 사전 특정 우선 나머지,-0.0029069770000000003
126,2011-03-07,아이비케이기업은행 가족,0.008746356
127,2011-03-11,피해 우리나라 여파 가동 중단 수입 당장 화성 공장 천안 라인 장비 작업 공정 디스플레이 파악 석유 설비 아이비케이투자증권 애널리스트 직후 현대차 시각 내수 철강 제이 전반 대외 소비 위축 부정적 대책 금융시장 점검,-0.01744186
128,2011-03-13,중소형 선전 사태 대외 에프앤가이드 가이드 마이너스 수치 위주 소외 현대차 증가율 강점 업황 안정성 등락 포트폴리오 편입 모비스 하이닉스 차별화 추구 개별 신탁 밸류 변동 격차 여파 금융시장 충격 뉴욕 피해 행진 특수 직후 재정 부채 아이비케이투자증권 침체 위축 자본시장 중장기 부정적,-0.01744186
129,2011-03-14,중소형 선전 사태 대외 에프앤가이드 가이드 마이너스 수치 위주 소외 현대차 증가율 강점 업황 안정성 등락 포트폴리오 편입 모비스 하이닉스 차별화 추구 개별 신탁 밸류 변동 격차 주력 가동 중단 직접 피해 공장 연장 골드 수급 여파 개의 보도 디스플레이 위치 석유 제이 소속 소식 아이비케이투자증권 점검 설비 보수 단지 특성 금융시장 충격 뉴욕 행진 특수 직후 재정 부채 침체 위축 자본시장 중장기 부정적 현황 호스 동양 최소 도시 과도 극복 지도 차원 소비 장기적,-0.023668638999999998
130,2011-03-15,주력 가동 중단 사태 직접 피해 공장 연장 골드 수급 여파 개의 보도 디스플레이 위치 석유 제이 소속 소식 아이비케이투자증권 점검 설비 보수 단지 특성,0.018181818
133,2011-03-18,월드 부회장 별세 학생 발인 미디어 차장 아산 체육 관광 광고 근무 부여 처리 통상 이정 강남 일보 창원 서울대,0.01744186
134,2011-03-23,퇴직 접근 강점 급여 근로자 보장 사의 포트폴리오 설계 매일 설정 소개 직접 전반,0.0
135,2011-03-27,이내 적립 잔액 장점 조기 아이비케이기업은행 기초 추구 단위 충족 연장 코스피지수 변경,-0.014124293999999999
136,2011-03-28,아이비케이기업은행 기초 추구 조기 단위 충족 연장 코스피지수 변경 이내 적립 잔액 장점,0.008595989
137,2011-04-01,체육 관광 승진 예술 진흥 콘텐츠 지영 디자인 미디어 여성 일보 울산 보도 제작 광고 비즈니스 단장 행정 대외 의료 센터장 시험 가정 수석 부행장 뱅킹 강남 강원 여신 본점 지점장 동양 천안 메리 프로젝트 파생 개설 신임 대표이사 선물 제주 경북 이승우 본사 사업부 임원 전무 부사장 전보 건강 조기 총회 이사회 소프트 식품 가족 급여 피해 파견 국립 소장 자원 경기도 부회장 총괄 제호 자문 학교,0.023872678999999997
138,2011-04-03,저축은행 금융상품 고위 제일 중앙회 안내 사태 우선 고정 여신 부실 당기 당기순이익 흑자 금융회사 안팎 중반 소득 금리인상 소액 서민 통장 특징 우대금리 적립 누구 이내,0.023872678999999997
140,2011-04-06,자문 금융위기 삼성증권 잔액 수치 사모 사모펀드 장기적 성향 선호 적립 특정 코스피지수 상승률 초과 요소 섰다,0.0
141,2011-04-08,신용카드 브랜드 대한민국 민국 동일 제일 발급 회원 전화 고정 하락세 여파 신제품 본격화 모멘텀 부정적 애플 증권가 목소리,-0.013661201999999999
142,2011-04-12,삼성화재 수석 이정 지도 추구 영입 배경 소식 제출 코트 서브 정규리그 챔피언결정전 출발,0.013812155
144,2011-04-24,금호 동양 금융사 만주 석유 구조조정 책임 차원 출연 저축은행 본인 부회장 마찬가지 애널리스트 부실 우리나라 인정 의원 설정 우선 지배 지배구조 순환 출자 한때,0.0
145,2011-04-26,수석 직후 국회 의원 전화 공정 처리 주당 주장 선물 계열 해석 통과 체제 충족 금융회사 삼성생명 순환 출자 취지 고민 형성 지배 지배구조 개편 중간 상장사 물론 합의 단체 당장 현대차,0.032
146,2011-04-27,금융지주 선두 선도 치열 총회 강조 영화 신탁 선물 신한금융투자 제주 열린 조회 금융기관 퇴직 기본 비즈니스 범위 여신 금융상품 특징 성적 우대금리 통장 회원 발급 간편 내역 우리나라 원화 입금 행장 신설 구매 가족 적립 면제 취임 조치 지점장 신용등급 프리미엄 포트폴리오 실질적 장점 소비 이외 맞춤 쇼핑 브랜드 유명 매일 호텔 제일 네트워크 제휴,0.031007752000000003
